Text,Summary
"Once upon a time, there was a young girl named Lily who lived in a small village nestled in a
lush forest. Lily was a curious and adventurous child, always seeking new experiences and
discoveries. One day, as she was wandering through the woods, she stumbled upon a
hidden pond.

The pond was unlike any she had ever seen before. Its waters were crystal clear and sparkled
in the sunlight. The banks were lined with vibrant wildflowers and ancient trees that seemed
to reach up to the sky. Lily felt a sense of wonder and awe wash over her, and she knew that

this was a special place.

As she gazed into the pond, Lily noticed a small fish swimming lazily in the water. The fish
was a brilliant shade of blue, and its scales shimmered in the light. Lily reached out to touch

the fish, but it darted away just out of her reach.

Determined to catch the fish, Lily spent hours sitting by the pond, trying to lure it with bits
of bread and insects. Eventually, the fish grew used to her presence and swam closer and

closer until Lily was finally able to scoop it up in her hands.

As she held the fish in her palms, Lily felt a sudden surge of energy flow through her body.
She could sense that this fish was no ordinary creature, but something magical and mystical.
With a sense of excitement and trepidation, Lily decided to take the fish home and care for

it.","
Determined to catch the fish, Lily spent hours sitting by the pond, trying to lure it with bits
of bread and insects. Eventually, the fish grew used to her presence and swam closer and

closer until Lily was finally able to scoop it up in her hands. With a sense of excitement and trepidation, Lily decided to take the fish home and care for

it."
"Over the coming weeks and months, Lily grew closer to the fish, and they became the best
of friends. She would spend hours talking to the fish and telling it about her adventures in
the forest. In return, the fish would listen attentively and share its own tales of the

underwater world.

As time went on, Lily began to notice changes within herself. She felt more confident and
bold, and her sense of wonder and curiosity continued to grow. She knew that the fish had

given her a gift, one that she would cherish for the rest of her life.

Years passed, and Lily grew into a wise and kind woman. She continued to visit the pond and
the fish, and each time she did, she felt a sense of peace and contentment wash over her.
She knew that she had discovered something truly special, something that had changed her

life forever.","She continued to visit the pond and
the fish, and each time she did, she felt a sense of peace and contentment wash over her."
"Don't Give Up

A long time ago, there was lived a boy named Rodney in a
village. He was very happy with his family. But his happiness
could not last for long. Rodney and his fellow villagers faced a
severe drought. They desperately waited for rains but with no
luck. All the crops, land and even trees dried up. The cattle
started dying. As there was no rain, the stream was drying up
slowly.

One night, during a meet with the villagers, Rodney said,
“Friends, we all have heard tales from our grandparents about
an underground river flowing through our village. Why don’t
we dig and see?” The villagers agreed and started digging.
They dug for some days but gave up soon. However, Rodney
kept on digging. When people told him to give up, he said,
“God is helping and guiding my way.”

One day, when he had dug deep enough, Rodney saw water.
His attitude of not giving up saved the whole village. “Never
give upso easily,” Rodney advised all the villagers. Now, they
are never short of water. And whenever any problem arises, all
the villagers came up together and find a solution.","
One night, during a meet with the villagers, Rodney said,
“Friends, we all have heard tales from our grandparents about
an underground river flowing through our village. When people told him to give up, he said,
“God is helping and guiding my way.”

One day, when he had dug deep enough, Rodney saw water. “Never
give upso easily,” Rodney advised all the villagers."
"The Ant
and
the Dove

One hot day, an ant was searching for some water.
After walking around for some time, she came to a
Spring. To reach the spring, she had to climb up a
blade of grass. While making her way up, she slipped
and fell into the water.

She could have drowned if a dove up a nearby tree
had not seen her. Seeing that the ant was in trouble,
the dove quickly plucked off a leaf and dropped it into
the water near the struggling ant. The ant moved to-
wards the leaf and climbed up there. Soon it carried
her safely to dry ground. Just at that time, a hunter
nearby was throwing out his net towards the dove,
hoping to trap it.

Guessing what he was about to do, the ant quickly
bit him on the heel. Feeling the pain, the hunter
dropped his net. The dove was quick to fly away to
safety.

One good turn deserves another.","The Ant
and
the Dove

One hot day, an ant was searching for some water. Seeing that the ant was in trouble,
the dove quickly plucked off a leaf and dropped it into
the water near the struggling ant."
"Tortoise and his shell

One day, there was a tortoise that lived alone in the field. F-. ry day
he watched the other animalseruntfastpand he felt sad 4ecause he
was so slow. The tortoise was, sad because he could rt un as fast
as the other animals. He\could only walk. Thestortl’- » thought and
thought, andhen he-said, ""I cannot run fast be ««2 my shell is too
heavy. If |could-crawl out of my shell, | wou. ! . 2/able to, run fast.""
Then the/tortoise crawled out of its shell. He 1.in and shouted, ""Look
at me! I/can run fast now!"" He was excitew.

The tortoise was still running along + ie path when he ran into a
large dog. The tortoise got a frigh”. .'e stopped, turned around, and
ran away .as fast-as his legs/c“un. carry him. He thought the dog
was going? to chase him. And .:e’dog ran after him and barked.
""Woof-woof-woofl"" The tc ‘+ .ise turned off the path and hid behind
a large rock: The dog i xn on. When the dog was gone, the tortoise
came out from behir.* tne rock and started running again. Not long
after, the tortoir2 | ers a noise. He looks up and sees a/large bird.
The big bird wa, tedto eat the tortoise. The tortoise ran as fast as it
could away 4: .m there. ltsaw a tree with a hole in’it and quickly ran
into the \ ole. The tortoise waited until the bird flew away, then
came co + of the hole. The tortoise was unhappy because it was
scared.

He no longer has a shell in which to hide. Shortly after, it started to
rain. The tortoise was unhappy because he was soaking wet and
trembled from the cold. He did not like it.

He crawled back into his strong shell. ""| do not care if | can not run
fast. | am a tortoise. | am happy to be me! "" And that is why
tortoises do not crawl out of their shells to this day.

( by the WCED Foundation Phase Subject Group )

S","The tortoise was, sad because he could rt un as fast
as the other animals. 2/able to, run fast.""
Then the/tortoise crawled out of its shell. 
The tortoise was still running along + ie path when he ran into a
large dog. When the dog was gone, the tortoise
came out from behir.* tne rock and started running again. The tortoise ran as fast as it
could away 4: .m there. The tortoise waited until the bird flew away, then
came co + of the hole. | am happy to be me! "" And that is why
tortoises do not crawl out of their shells to this day."
"Japanese Folk Tales

Ten Stories in English

Introduction

Ten folk tales are writen in English ot four stages/levels to use for classroom
literacy exercises and/or in conjunction with Japanese Folk Tales Activity
Book ond Japanese Folk Tales Creative Resources

This book was written on the request of teachers who considered that
‘obtaining the desired folk tale books at an appropriate reading level is often
very difficult and expensive. Therefore, as well as the numerous resources
listed in Jopanese Folk Tales Activity Book, a more available and user
friendly option has been provided in English. There are already sufficient
junior level books /stories/websites/videos available in Jopanese, as
indicated in the resource lis.

All the stories are writen in the recount genre with well spaced paragraphs
over a three fo five pages to allow for class sets to be made. Teachers may
use this format fo encourage students to rewrite stories in the Narrative,

Dialogue or Poetic genres and fo encourage group oral reading and drama.

Additional literacy and story recall exercises are provided at the back of the
book. These pages have application for any story and may be adapted fo
class or teacher needs.

Exiensive supporting language and literacy exercises and activities are
provided in Japanese Folk Tales Activity Book by the same author. A
complementary book, Japanese Folk Toles Creative Resources by Peter
Hooper has an extensive range of 2D and 3D craft and art activities based
‘on the ten folk tales in this book","Japanese Folk Tales

Ten Stories in English

Introduction

Ten folk tales are writen in English ot four stages/levels to use for classroom
literacy exercises and/or in conjunction with Japanese Folk Tales Activity
Book ond Japanese Folk Tales Creative Resources

This book was written on the request of teachers who considered that
‘obtaining the desired folk tale books at an appropriate reading level is often
very difficult and expensive."
"The Duke smiled and touched her hand. 'I know
that I'm often late,’ he said. 'But on our wedding
day, I arrived at the church twenty minutes before
you. I was early and you were late.'

'Yes, that's true,’ the Duchess
said. And they both laughed.","I was early and you were late.'

'Yes, that's true,’ the Duchess
said."
"Who is Happy?

Once a crow looked at a swan and thought how
beautiful the swan is. She had all white feathers
whereas the crow was black.

The crow expressed his thoughts to the swan. The
swan replied that according to her, the parrot is the
most beautiful bird as it has two colours and the
swan had just one.

Next, the crow approached the parrot, who simply
said that peacock is the most beautiful than him, as
it is multicolored.

When the crow expressed his thoughts to the
peacock, the peacock replied, “My dear crow, you
are the luckiest bird on this planet as you are never
caged” .“Because of my beauty, | am trapped in this
cage and you are free”.

On hearing this, the crow thought how foolish he
had been and thanked god for making him the way
he was.
Moral of the story:-
Never compare yourself to others. Be happy in what
you are and what you have.
www.msbadi.com S8LIVEWORKSHEETS","
Next, the crow approached the parrot, who simply
said that peacock is the most beautiful than him, as
it is multicolored. 
When the crow expressed his thoughts to the
peacock, the peacock replied, “My dear crow, you
are the luckiest bird on this planet as you are never
caged” .“Because of my beauty, | am trapped in this
cage and you are free”."
"Once upon a time, in a small village nestled in the mountains, there lived a young girl _
named Mei. Mei was known throughout the village for her kind heart and her love of

adventure. She spent her days exploring the forests and meadows around her home, always
eager to discover something new.

One day, as she was wandering through the woods, Mei came across a beautiful butterfly. Its
wings were a bright shade of blue, and it fluttered about her head as if trying to get her

attention. Mei followed the butterfly deeper into the forest, until she came to a clearing that
she had never seen before.

In the center of the clearing stood a tall, majestic tree, its branches stretching up towards

the sky. And there, perched in the branches, was a tiny bird with feathers as golden as the
sun.

Mei felt a sudden surge of curiosity and wonder, and she climbed up the tree to get a closer

look. As she approached the bird, it chirped a sweet melody that filled her heart with joy.

“Hello, little one,"" Mei whispered. ""What brings you to this tree?""

The bird looked at Mei with its bright, beady eyes and sang a song that seemed to hold a

secret. Mei listened intently, trying to understand the meaning behind the melody.

As the sun began to set, Mei climbed down from the tree and made her way back to the

village. She couldn't stop thinking about the bird and its beautiful song,

and she knew that
she had to return to the tree the next day.","
Mei felt a sudden surge of curiosity and wonder, and she climbed up the tree to get a closer

look. ""What brings you to this tree?""

The bird looked at Mei with its bright, beady eyes and sang a song that seemed to hold a

secret. 
As the sun began to set, Mei climbed down from the tree and made her way back to the

village."
"The bird looked at Mei with its bright, beady eyes and sang a song that seemed to hold a

secret. Mei listened intently, trying to understand the meaning behind the melody.

As the sun began to set, Mei climbed down from the tree and made her way back to the

village. She couldn't stop thinking about the bird and its beautiful song, and she knew that
she had to return to the tree the next day.

For many days and nights, Mei visited the tree and listened to the bird's songs. She tried to

learn the words and the melody, but they were so complex that she could never quite grasp
them.

One day, as she was sitting beneath the tree, Mei had an idea. She pulled out a small
notebook and began to write down the notes and the lyrics to the bird's song. And as she

wrote, she found that the melody seemed to come alive on the page, filling her with a sense
of wonder and magic.

And so, Mei continued to visit the tree, writing down the bird's songs and filling her
notebook with the most beautiful melodies she had ever heard. And soon, the villagers

began to gather around her, eager to hear her play and sing the songs she had learned.

Mei had discovered a gift, and she shared it with the world, bringing joy and happiness to all
who heard her music. And she knew that she owed it all to the little bird with the golden
feathers, who had shown her the way to unlock the magic of music.","
For many days and nights, Mei visited the tree and listened to the bird's songs. 
And so, Mei continued to visit the tree, writing down the bird's songs and filling her
notebook with the most beautiful melodies she had ever heard."
